# sample_id    R1_path                                                     R2_path
Cxt-adult-48    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-48_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-48_R2_001.fastq.gz
Cxt-adult-57    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-57_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-57_R2_001.fastq.gz
Cxt-L4-57       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-L4-57_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-L4-57_R2_001.fastq.gz
Cxt-L4-95       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-L4-95_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-L4-95_R2_001.fastq.gz
Cxt-pupae-14    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-pupae-14_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-pupae-14_R2_001.fastq.gz
Cxt-pupae-45    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-pupae-45_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-pupae-45_R2_001.fastq.gz
Cxt-r2-26       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-26_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-26_R2_001.fastq.gz
Cxt-r2-27       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-27_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-27_R2_001.fastq.gz
Cxt-r2-28       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-28_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-28_R2_001.fastq.gz
Cxt-r2-29       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-29_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-29_R2_001.fastq.gz
Cxt-r2-35       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-35_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-35_R2_001.fastq.gz
Cxt-r2-36       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-36_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-36_R2_001.fastq.gz
Cxt-r2-37       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-37_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-37_R2_001.fastq.gz
Cxt-r2-38       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-38_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-r2-38_R2_001.fastq.gz
lib_1_S21       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/lib_1_S21_L004_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/lib_1_S21_L004_R2_001.fastq.gz
lib_2_S22       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/lib_2_S22_L004_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/lib_2_S22_L004_R2_001.fastq.gz
lib_3_S23       /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/lib_3_S23_L004_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/lib_3_S23_L004_R2_001.fastq.gz
MG1-c_S1        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/MG1-c_S1_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/MG1-c_S1_L003_R2_001.fastq.gz
MG2-c_S2        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/MG2-c_S2_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/MG2-c_S2_L003_R2_001.fastq.gz
mg3_c_S3        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg3_c_S3_L001_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg3_c_S3_L001_R2_001.fastq.gz
mg4_c_S4        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg4_c_S4_L001_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg4_c_S4_L001_R2_001.fastq.gz
mg5_c_S2        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg5_c_S2_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg5_c_S2_L003_R2_001.fastq.gz
mg6_c_S3        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg6_c_S3_L002_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg6_c_S3_L002_R2_001.fastq.gz
mg7_c_S4        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg7_c_S4_L002_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg7_c_S4_L002_R2_001.fastq.gz
mg8_c_S3        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg8_c_S3_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg8_c_S3_L003_R2_001.fastq.gz
mg9_c_S4        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg9_c_S4_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/mg9_c_S4_L003_R2_001.fastq.gz
SI-TT-H1_S1     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/SI-TT-H1_S1_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/SI-TT-H1_S1_L003_R2_001.fastq.gz
SI-TT-H2_S2     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/SI-TT-H2_S2_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/SI-TT-H2_S2_L003_R2_001.fastq.gz
wnv_MG1_S1      /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_MG1_S1_L001_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_MG1_S1_L001_R2_001.fastq.gz
wnv_MG2_S2      /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_MG2_S2_L001_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_MG2_S2_L001_R2_001.fastq.gz
wnv_mg3_S1      /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg3_S1_L001_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg3_S1_L001_R2_001.fastq.gz
wnv_mg4_S2      /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg4_S2_L001_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg4_S2_L001_R2_001.fastq.gz
wnv_mg5_S1      /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg5_S1_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg5_S1_L003_R2_001.fastq.gz
wnv_mg6_S1      /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg6_S1_L002_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg6_S1_L002_R2_001.fastq.gz
wnv_mg7_S1      /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg7_S1_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg7_S1_L003_R2_001.fastq.gz
wnv_mg9_S2      /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg9_S2_L002_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/wnv_mg9_S2_L002_R2_001.fastq.gz
